label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
gstB;Wisp;Wisp;Buhu;Buh;Buh;Follet;Follet;Spirideo;Wisp;幽幽;幽幽;ゆうたろう;깨빈;Уисп
gul;Gulliver;Gulliver;Gulliver;Gulliver;Gulliver;Gulliver;Gulliver;Gulliver;Gulliver;吕游;呂遊;ジョニー;죠니;Гулливер
gulB;Gullivarrr;Gullivarrr;Gullivarrr;Gullivarrr;Gullivarrr;Gullivarrr;Gullivarrr;Gullivarrr;Gullivarrr;海盗;海盜;かいぞく;해적;Гулливарр
hgc;Label;Label;Minna;Tili;Tili;Tiquette;Tiquette;Beatrice;Label;绵儿;綿兒;ことの;고숙이;Лэйбл
hgh;Mabel;Mabel;Tina;Pili;Pili;Layette;Layette;Agostina;Mabel;绢儿;絹兒;きぬよ;고순이;Мэйбл
hgs;Sable;Sable;Sina;Mili;Mili;Cousette;Cousette;Filomena;Sable;麻儿;麻兒;あさみ;고옥이;Сэйбл
kpg;Grams;Grams;Bonnie;Rosauria;Rosauria;Mamiral;Mamiral;Remigia;Grams;阿玉婆婆;阿玉婆婆;ゲコ;귀녀;Грэмс
kpm;Leilani;Leilani;Lore;Marimar;Marimar;Liliane;Liliane;Ramona;Leilani;沽玉;沽玉;クーコ;갑순;Лейлани
kpp;Kapp'n;Kapp'n;Käpten;Capitán;Capitán;Amiral;Amiral;Remo;Kapp'n;航平;航平;かっぺい;갑돌;Кэпн
kps;Leila;Leila;Lotte;Conchita;Conchita;Lila;Lila;Romina;Leila;沽沽;沽沽;クク;꼬미;Лейла
lom;Katie;Katie;Katja;Cati;Cati;Cathie;Cathie;Micetta;Katie;咪露;咪露;まいこちゃん;미야;Кейти
mka;Blanca;Blanca;Blanka;Blanca;Blanca;Blanca;Blanca;Blanca;Blanca;无脸猫;無臉貓;あやしいネコ;아트고양이;Бланка
mnk;Porter;Porter;Flip;Estasio;Estasio;Lazare;Lazare;Ciufciuf;Porter;车长叔叔;車長叔叔;えきいんさん;역무원;Портер
mob;Don;Don;Don;Forma T.;Forma T.;Don;Don;Don;Don;开关叔叔;開關叔叔;ラケットさん;오루묵씨;Дон
mol;Resetti;Resetti;Resetti;Rese T.;Rese T.;Resetti;Resetti;Resetti;Resetti;电源叔叔;電源叔叔;リセットさん;도루묵씨;Ресетти
otg;Lottie;Lottie;Karlotta;Nuria;Nuria;Lou;Lou;Casimira;Lottie;巧美;巧美;タクミ;솜이;Лотти
ott;Lyle;Lyle;Fred;Sisebuto;Sisebuto;Lionel;Lionel;Frodolo;Lyle;阿本先生;阿本先生;ホンマさん;안심해씨;Лайл
owl;Blathers;Blathers;Eugen;Sócrates;Sócrates;Thibou;Thibou;Blatero;Blathers;傅达;傅達;フータ;부엉;Блезерс
ows;Celeste;Celeste;Eufemia;Estela;Estela;Céleste;Céleste;Celeste;Celeste;傅珂;傅珂;フーコ;부옥;Селеста
pck;Pavé;Pavé;Pavo;Conga;Conga;Roberto;Roberto;Pavão;Pavé;阿欢;阿歡;ベルリーナ;베르리나;Паве
pge;Brewster;Brewster;Kofi;Fígaro;Fígaro;Robusto;Robusto;Bartolo;Brewster;老板;老闆;マスター;마스터;Брюстер
pkn;Jack;Jack;Jakob;Soponcio;Soponcio;Jacqu'O;Jacqu'O;Fifonio;Jack;南瓜王;南瓜王;パンプキング;펌킹;Джек
plk;Pelly;Pelly;Pelly;Sol;Sol;Opélie;Opélie;Pelly;Pelly;宋信子;宋信子;ぺりこ;펠리;Пелли
plm;Phyllis;Phyllis;Peggy;Estrella;Estrella;Élisabec;Élisabec;Polly;Phyllis;宋信美;宋信美;ぺりみ;펠리미;Филлис
plo;Pete;Pete;Peter;Carturo;Carturo;Antoine;Antoine;Tino;Pete;程信雄;程信雄;ぺりお;펠리오;Пит
poo;Harriet;Harriet;Trude;Marilín;Marilín;Ginette;Ginette;Bigodina;Harriet;刀丽茹;刀麗茹;カットリーヌ;카트리나;Харриет
pyn;Zipper;Zipper;Ohs;Coti;Coti;Albin;Albin;Ovidio;Zipper;蹦蹦;蹦蹦;ぴょんたろう;토빗;Зиппер
rcm;Timmy;Timmy;Nepp;Tendo;Tendo;Méli;Méli;Mirco;Timmy;豆狸;豆狸;まめきち;콩돌이;Тимми
rco;Tom Nook;Tom Nook;Tom Nook;Tom Nook;Tom Nook;Tom Nook;Tom Nook;Tom Nook;Tom Nook;狸克;狸克;たぬきち;너굴;Том Нук
rct;Tommy;Tommy;Schlepp;Nendo;Nendo;Mélo;Mélo;Marco;Tommy;粒狸;粒狸;つぶきち;밤돌이;Томми
rei;Jingle;Jingle;Chris;Renato;Renato;Rodolphe;Rodolphe;Jingle;Jingle;铃铃鹿;鈴鈴鹿;ジングル;루돌;Джингл
seo;Pascal;Pascal;Johannes;Pascal;Pascal;Pascal;Pascal;Pasqualo;Pascal;阿獭;阿獺;ラコスケ;해탈한;Паскаль
skk;Kicks;Kicks;Schubert;Betunio;Betunio;Blaise;Blaise;Sciuscià;Kicks;薛革;薛革;シャンク;패트릭;Кикс
slo;Leif;Leif;Gerd;Gandulio;Gandulio;Racine;Racine;Florindo;Leif;然然;然然;レイジ;늘봉;Лейф
spn;Harvey;Harvey;Harvey;Fauno;Fauno;Joe;Joe;Fiorilio;Harvey;巴猎;巴獵;パニエル;파니엘;Харви
sza;Isabelle;Isabelle;Melinda;Canela;Canela;Marie;Marie;Fuffi;Isabelle;西施惠;西施惠;しずえ;여울;Изабель
szo;Digby;Digby;Moritz;Candrés;Candrés;Max;Max;Fofò;Digby;西施德;西施德;ケント;켄트;Дигби
tap;Luna;Luna;Serenada;Alakama;Alakama;Serena;Serena;Sonia;Luna;梦美;夢美;ゆめみ;몽셰르;Луна
tkkA;K.K.;K.K.;K.K.;Totakeke;Totakeke;Kéké;Kéké;K.K.;K.K.;K.K.;K.K.;とたけけ;K.K.;К. К.
tkkB;DJ KK;DJ KK;DJ K.K.;DJ KeKe;DJ KeKe;DJ Kéké;DJ Kéké;DJ K.K.;DJ K.K.;DJ KK;DJ KK;DJ K.K;DJ K.K.;DJ KK
ttlA;Tortimer;Tortimer;Törtel;Tórtimer;Tórtimer;Tortimer;Tortimer;Tortimer;Tortimer;寿伯;壽伯;コトブキ;고북;Тортимер
tuk;Franklin;Franklin;Gernod;Guindo;Guindo;Dindou;Dindou;Cedrone;Franklin;富蓝;富藍;フランクリン;프랭클린;Франклин
upa;Shrunk;Shrunk;Samselt;Dr. Sito;Dr. Sito;Ciboulot;Ciboulot;Strizzo;Shrunk;笑匠;笑匠;ししょー;스승;Шранк
wrl;Wendell;Wendell;Winci;Da Morsi;Da Morsi;Morsicus;Morsicus;Van Trik;Wendell;海项;海項;セイイチ;고파유;Уэнделл
xct;Rover;Rover;Olli;Fran;Fran;Charly;Charly;Girolamo;Rover;陌陌;陌陌;みしらぬネコ;낯선고양이;Ровер
