label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
hip_F;hippo;hippo;Nilpferd;hipopótama;hipopótama;hippopotame;hippopotame;ippopotamo;nijlpaard;河马;河馬;カバ;하마;бегемотиха
hrs_M;horse;horse;Pferd;caballo;caballo;cheval;cheval;cavallo;paard;马;馬;ウマ;말;конь
hrs_F;horse;horse;Pferd;yegua;yegua;jument;jument;cavalla;paard;马;馬;ウマ;말;лошадь
kal_M;koala;koala;Koala;koala;koala;koala;koala;koala;koala;树袋熊;無尾熊;コアラ;코알라;коала
kal_F;koala;koala;Koala;koala;koala;koala;koala;koala;koala;树袋熊;無尾熊;コアラ;코알라;коала
kgr_M;kangaroo;kangaroo;Känguru;canguro;canguro;kangourou;kangourou;canguro;kangoeroe;袋鼠;袋鼠;カンガルー;캥거루;кенгуру
kgr_F;kangaroo;kangaroo;Känguru;cangura;cangura;kangourou;kangourou;canguro;kangoeroe;袋鼠;袋鼠;カンガルー;캥거루;кенгуру
lon_M;lion;lion;Löwe;león;león;lion;lion;leone;leeuw;狮子;獅子;ライオン;사자;лев
lon_F;lion;lion;Löwe;leona;leona;lionne;lionne;leonessa;leeuwin;狮子;獅子;ライオン;사자;львица
mnk_M;monkey;monkey;Affe;mono;mono;singe;singe;scimmia;aap;猴子;猴子;サル;원숭이;обезьяна
mnk_F;monkey;monkey;Affe;mona;mona;guenon;guenon;scimmia;aap;猴子;猴子;サル;원숭이;обезьяна
mus_M;mouse;mouse;Maus;ratón;ratón;souris;souris;topo;muis;老鼠;老鼠;マウス;생쥐;мышь
mus_F;mouse;mouse;Maus;ratona;ratona;souris;souris;topo;muis;老鼠;老鼠;マウス;생쥐;мышь
ocp_M;octopus;octopus;Krake;pulpo;pulpo;pieuvre;pieuvre;piovra;octopus;章鱼;章魚;タコ;문어;осьминог
ocp_F;octopus;octopus;Krake;octópoda;octópoda;pieuvre;pieuvre;piovra;octopus;章鱼;章魚;タコ;문어;осьминог
ost_M;ostrich;ostrich;Strauß;avestruz;avestruz;autruche;autruche;struzzo;struisvogel;鸵鸟;鴕鳥;ダチョウ;타조;страус
ost_F;ostrich;ostrich;Strauß;avestruz;avestruz;autruche;autruche;struzzo;struisvogel;鸵鸟;鴕鳥;ダチョウ;타조;страусиха
pbr_M;eagle;eagle;Adler;águila;águila;aigle;aigle;aquila;adelaar;雕;鵰;ワシ;독수리;орел
pbr_F;eagle;eagle;Adler;águila;águila;aigle;aigle;aquila;adelaar;雕;鵰;ワシ;독수리;орлица
pgn_M;penguin;penguin;Pinguin;pingüino;pingüino;manchot;manchot;pinguino;pinguïn;企鹅;企鵝;ペンギン;펭귄;пингвин
pgn_F;penguin;penguin;Pinguin;pingüina;pingüina;manchot;manchot;pinguino;pinguïn;企鹅;企鵝;ペンギン;펭귄;пингвин
pig_M;pig;pig;Schwein;cerdo;cerdo;cochon;cochon;maiale;varken;猪;豬;ブタ;돼지;поросенок
pig_F;pig;pig;Schwein;cerda;cerda;truie;truie;maiale;varken;猪;豬;ブタ;돼지;свинка
rbt_M;rabbit;rabbit;Hase;conejo;conejo;lapin;lapin;coniglio;konijn;兔子;兔子;ウサギ;토끼;кролик
rbt_F;rabbit;rabbit;Hase;coneja;coneja;lapine;lapine;coniglio;konijn;兔子;兔子;ウサギ;토끼;крольчиха
rhn_M;rhinoceros;rhinoceros;Nashorn;rinoceronte;rinoceronte;rhinocéros;rhinocéros;rinoceronte;neushoorn;犀牛;犀牛;サイ;코뿔소;носорог
rhn_F;rhinoceros;rhinoceros;Nashorn;rinoceronta;rinoceronta;rhinocéros;rhinocéros;rinoceronte;neushoorn;犀牛;犀牛;サイ;코뿔소;носорог
shp_M;sheep;sheep;Schaf;carnero;carnero;mouton;mouton;montone;schaap;绵羊;綿羊;ヒツジ;양;баран
shp_F;sheep;sheep;Schaf;oveja;oveja;brebis;brebis;pecora;schaap;绵羊;綿羊;ヒツジ;양;овца
squ_M;squirrel;squirrel;Eichhörnchen;ardilla;ardilla;écureuil;écureuil;scoiattolo;eekhoorn;松鼠;松鼠;リス;다람쥐;белка
squ_F;squirrel;squirrel;Eichhörnchen;ardilla;ardilla;écureuil;écureuil;scoiattolo;eekhoorn;松鼠;松鼠;リス;다람쥐;белка
tig_M;tiger;tiger;Tiger;tigre;tigre;tigre;tigre;tigre;tijger;老虎;老虎;トラ;호랑이;тигр
tig_F;tiger;tiger;Tiger;tigresa;tigresa;tigresse;tigresse;tigre;tijger;老虎;老虎;トラ;호랑이;тигрица
wol_M;wolf;wolf;Wolf;lobo;lobo;loup;loup;lupo;wolf;狼;狼;オオカミ;늑대;волк
wol_F;wolf;wolf;Wolf;loba;loba;louve;louve;lupa;wolf;狼;狼;オオカミ;늑대;волчица
